jid,statecode,year_end,variable,value
178,MI,2015,imm_children,51000
179,MN,2015,imm_children,45000
180,MO,2015,imm_children,19000
181,MS,2015,imm_children,-97
182,MT,2015,imm_children,-97
183,NC,2015,imm_children,57000
184,ND,2015,imm_children,-97
185,NE,2015,imm_children,10000
186,NH,2015,imm_children,6000
187,NJ,2015,imm_children,104000
188,NM,2015,imm_children,13000
189,NV,2015,imm_children,24000
190,NY,2015,imm_children,220000
191,OH,2015,imm_children,43000
192,OK,2015,imm_children,19000
193,OR,2015,imm_children,24000
194,PA,2015,imm_children,57000
195,RI,2015,imm_children,8000
196,SC,2015,imm_children,17000
197,SD,2015,imm_children,-97
198,TN,2015,imm_children,29000
199,TX,2015,imm_children,307000
200,US,2015,imm_children,2475000
201,UT,2015,imm_children,17000
202,VA,2015,imm_children,74000
203,VT,2015,imm_children,-97
204,WA,2015,imm_children,62000
205,WI,2015,imm_children,25000
206,WV,2015,imm_children,-97
207,WY,2015,imm_children,-97
208,AK,2016,imm_children,-97
209,AL,2016,imm_children,12000
210,AR,2016,imm_children,12000
211,AZ,2016,imm_children,50000
212,CA,2016,imm_children,457000
213,CO,2016,imm_children,40000
214,CT,2016,imm_children,33000
215,DC,2016,imm_children,-97
216,DE,2016,imm_children,-97
217,FL,2016,imm_children,220000
218,GA,2016,imm_children,68000
219,HI,2016,imm_children,14000
220,IA,2016,imm_children,13000
221,ID,2016,imm_children,6000
222,IL,2016,imm_children,88000
223,IN,2016,imm_children,25000
224,KS,2016,imm_children,15000
225,KY,2016,imm_children,17000
226,LA,2016,imm_children,15000
227,MA,2016,imm_children,62000
228,MD,2016,imm_children,64000
229,ME,2016,imm_children,-97
230,MI,2016,imm_children,48000
231,MN,2016,imm_children,44000
232,MO,2016,imm_children,19000
233,MS,2016,imm_children,5000
234,MT,2016,imm_children,-97
235,NC,2016,imm_children,55000
236,ND,2016,imm_children,-97
237,NE,2016,imm_children,12000
238,NH,2016,imm_children,7000
239,NJ,2016,imm_children,108000
240,NM,2016,imm_children,11000
241,NV,2016,imm_children,23000
242,NY,2016,imm_children,229000
243,OH,2016,imm_children,40000
244,OK,2016,imm_children,16000
245,OR,2016,imm_children,21000
246,PA,2016,imm_children,63000
247,RI,2016,imm_children,9000
248,SC,2016,imm_children,18000
249,SD,2016,imm_children,-97
250,TN,2016,imm_children,30000
251,TX,2016,imm_children,309000
252,US,2016,imm_children,2478000
253,UT,2016,imm_children,13000
254,VA,2016,imm_children,67000
255,VT,2016,imm_children,-97
256,WA,2016,imm_children,64000
257,WI,2016,imm_children,27000
258,WV,2016,imm_children,-97
259,WY,2016,imm_children,-97
260,AK,2017,imm_children,-97
261,AL,2017,imm_children,14000
262,AR,2017,imm_children,9000
263,AZ,2017,imm_children,52000
264,CA,2017,imm_children,445000
265,CO,2017,imm_children,41000
266,CT,2017,imm_children,33000
267,DC,2017,imm_children,-97
268,DE,2017,imm_children,-97
269,FL,2017,imm_children,237000
270,GA,2017,imm_children,67000
271,HI,2017,imm_children,14000
272,IA,2017,imm_children,15000
273,ID,2017,imm_children,6000
274,IL,2017,imm_children,82000
275,IN,2017,imm_children,30000
276,KS,2017,imm_children,15000
277,KY,2017,imm_children,16000
278,LA,2017,imm_children,15000
279,MA,2017,imm_children,72000
280,MD,2017,imm_children,66000
281,ME,2017,imm_children,-97
282,MI,2017,imm_children,58000
283,MN,2017,imm_children,45000
284,MO,2017,imm_children,18000
285,MS,2017,imm_children,5000
286,MT,2017,imm_children,-97
287,NC,2017,imm_children,60000
288,ND,2017,imm_children,-97
289,NE,2017,imm_children,15000
290,NH,2017,imm_children,7000
291,NJ,2017,imm_children,115000
292,NM,2017,imm_children,11000
293,NV,2017,imm_children,25000
294,NY,2017,imm_children,231000
295,OH,2017,imm_children,36000
296,OK,2017,imm_children,14000
297,OR,2017,imm_children,19000
298,PA,2017,imm_children,69000
299,RI,2017,imm_children,10000
300,SC,2017,imm_children,18000
301,SD,2017,imm_children,-97
302,TN,2017,imm_children,32000
303,TX,2017,imm_children,316000
304,US,2017,imm_children,2545000
305,UT,2017,imm_children,16000
306,VA,2017,imm_children,67000
307,VT,2017,imm_children,-97
308,WA,2017,imm_children,70000
309,WI,2017,imm_children,25000
310,WV,2017,imm_children,-97
311,WY,2017,imm_children,-97
312,AK,2015,nat_children,182000
313,AL,2015,nat_children,1095000
314,AR,2015,nat_children,694000
315,AZ,2015,nat_children,1567000
316,CA,2015,nat_children,8669000
317,CO,2015,nat_children,1215000
318,CT,2015,nat_children,735000
319,DC,2015,nat_children,111000
320,DE,2015,nat_children,198000
321,FL,2015,nat_children,3862000
322,GA,2015,nat_children,2430000
323,HI,2015,nat_children,296000
324,IA,2015,nat_children,711000
325,ID,2015,nat_children,423000
326,IL,2015,nat_children,2881000
327,IN,2015,nat_children,1554000
328,KS,2015,nat_children,704000
329,KY,2015,nat_children,993000
330,LA,2015,nat_children,1102000
331,MA,2015,nat_children,1325000
332,MD,2015,nat_children,1285000
333,ME,2015,nat_children,253000
334,MI,2015,nat_children,2161000
335,MN,2015,nat_children,1233000
336,MO,2015,nat_children,1371000
337,MS,2015,nat_children,725000
338,MT,2015,nat_children,223000
339,NC,2015,nat_children,2231000
340,ND,2015,nat_children,167000
341,NE,2015,nat_children,459000
342,NH,2015,nat_children,259000
343,NJ,2015,nat_children,1901000
344,NM,2015,nat_children,485000
345,NV,2015,nat_children,641000
346,NY,2015,nat_children,3991000
347,OH,2015,nat_children,2586000
348,OK,2015,nat_children,936000
349,OR,2015,nat_children,836000
350,PA,2015,nat_children,2630000
351,RI,2015,nat_children,203000
352,SC,2015,nat_children,1068000
353,SD,2015,nat_children,206000
354,TN,2015,nat_children,1464000
355,TX,2015,nat_children,6848000
356,US,2015,nat_children,71042000
357,UT,2015,nat_children,892000
358,VA,2015,nat_children,1794000
359,VT,2015,nat_children,118000
360,WA,2015,nat_children,1544000
361,WI,2015,nat_children,1268000
362,WV,2015,nat_children,379000
363,WY,2015,nat_children,137000
364,AK,2016,nat_children,183000
365,AL,2016,nat_children,1091000
366,AR,2016,nat_children,695000
367,AZ,2016,nat_children,1574000
368,CA,2016,nat_children,8641000
369,CO,2016,nat_children,1219000
370,CT,2016,nat_children,722000
371,DC,2016,nat_children,115000
372,DE,2016,nat_children,199000
373,FL,2016,nat_children,3903000
374,GA,2016,nat_children,2439000
375,HI,2016,nat_children,295000
376,IA,2016,nat_children,712000
377,ID,2016,nat_children,428000
378,IL,2016,nat_children,2850000
379,IN,2016,nat_children,1552000
380,KS,2016,nat_children,701000
381,KY,2016,nat_children,994000
382,LA,2016,nat_children,1101000
383,MA,2016,nat_children,1320000
384,MD,2016,nat_children,1282000
385,ME,2016,nat_children,251000
386,MI,2016,nat_children,2148000
387,MN,2016,nat_children,1239000
388,MO,2016,nat_children,1369000
389,MS,2016,nat_children,721000
390,MT,2016,nat_children,226000
391,NC,2016,nat_children,2236000
392,ND,2016,nat_children,171000
393,NE,2016,nat_children,459000
394,NH,2016,nat_children,255000
395,NJ,2016,nat_children,1882000
396,NM,2016,nat_children,481000
397,NV,2016,nat_children,649000
398,NY,2016,nat_children,3960000
399,OH,2016,nat_children,2574000
400,OK,2016,nat_children,944000
401,OR,2016,nat_children,842000
402,PA,2016,nat_children,2613000
403,RI,2016,nat_children,201000
404,SC,2016,nat_children,1076000
405,SD,2016,nat_children,207000
406,TN,2016,nat_children,1468000
407,TX,2016,nat_children,6936000
408,US,2016,nat_children,71069000
409,UT,2016,nat_children,903000
410,VA,2016,nat_children,1800000
411,VT,2016,nat_children,117000
412,WA,2016,nat_children,1555000
413,WI,2016,nat_children,1258000
414,WV,2016,nat_children,376000
415,WY,2016,nat_children,138000
416,AK,2017,nat_children,183000
417,AL,2017,nat_children,1081000
418,AR,2017,nat_children,698000
419,AZ,2017,nat_children,1578000
420,CA,2017,nat_children,8624000
421,CO,2017,nat_children,1218000
422,CT,2017,nat_children,712000
423,DC,2017,nat_children,117000
424,DE,2017,nat_children,199000
425,FL,2017,nat_children,3934000
426,GA,2017,nat_children,2445000
427,HI,2017,nat_children,292000
428,IA,2017,nat_children,712000
429,ID,2017,nat_children,434000
430,IL,2017,nat_children,2824000
